Year,Category,Nominee,Artist,Winner,Track_ID,Popularity,Danceability,Energy,Tempo
2019,Song Of The Year,Someone You Loved,,True,4eNFKsG45HSE7HP9v2NOW3,36,0.582,0.518,109.941
2019,Song Of The Year,Someone You Loved,,True,6TeB7j56k4AbELOl3G4zfj,52,0.571,0.925,115.017
2019,Song Of The Year,Someone You Loved,,True,00utEhrTFR6V4HEuLh2ncI,56,0.481,0.0686,73.739
2019,Song Of The Year,Someone You Loved,,True,7qEHsqek33rTcFNT9PFqLf,87,0.501,0.405,109.891
2019,Best Pop Solo Performance,Spirit,Beyoncé,True,6GmhqGy1701ajXJY4ob5WF,29,0.697,0.296,100.86
2019,Best Pop Solo Performance,Spirit,Beyoncé,True,4SgnNO4hJbZDftfpBrH2Rj,44,0.729,0.679,170.041
2019,Best Pop Solo Performance,Spirit,Beyoncé,True,4Get5ZiY8kJAWaqkPhSGb1,44,0.426,0.962,139.98
2019,Best Song Written For Visual Media,Spirit,,True,6GmhqGy1701ajXJY4ob5WF,29,0.697,0.296,100.86
2019,Best Song Written For Visual Media,Spirit,,True,4SgnNO4hJbZDftfpBrH2Rj,44,0.729,0.679,170.041
2019,Best Song Written For Visual Media,Spirit,,True,4Get5ZiY8kJAWaqkPhSGb1,44,0.426,0.962,139.98
2019,Best Pop Duo/Group Performance,Boyfriend,Ariana Grande & Social House,True,4w0JgfCgCTEOmXCWbC1t9j,54,0.715,0.275,107.945
2019,Best Pop Duo/Group Performance,Boyfriend,Ariana Grande & Social House,True,2WKBEpRgLDXonyicWfyzdh,0,0.799,0.847,99.99
2019,Best Pop Duo/Group Performance,Sucker,Jonas Brothers,True,22vgEDb5hykfaTwLuskFGD,81,0.842,0.734,137.958
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,0mjDJiWmZ548y9EUnogCP1,45,0.67,0.778,176.028
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,0TK2YIli7K1leLovkQiNik,81,0.759,0.54,116.947
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,6v3KW9xbzN5yKLt9YKDYA2,80,0.759,0.548,116.967
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,73gHGOTyJuwHExzHPh84GN,0,0.759,0.54,116.947
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,3UsWDYhiwRueTSHjXIJt3M,2,0.759,0.54,116.947
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,3I32ecZ4R3gN1lMCv4mUUN,2,0.759,0.54,116.947
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,0HhWAs1xH9is3YW9k4Uivo,20,0.744,0.301,117.325
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,True,3uaMzagaQt8mQ952yXUNQj,36,0.683,0.553,91.18
2019,Best Dance Recording,Got To Keep On,The Chemical Brothers,True,4vh6Rn6FVG4w79JmlZ5p7d,53,0.721,0.867,125.005
2019,Best Dance Recording,Linked,Bonobo,True,7yfhESjiagb2x1WEWlgpbb,55,0.613,0.905,99.971
2019,Best Dance Recording,Linked,Bonobo,True,3rCtueI7qBN2kZBZnXuk5K,54,0.713,0.725,122.041
2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,True,4M0ezYulsUFJDrKk9d58y6,0,0.677,0.744,124.077
